"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
12724_U_1025272,1,1,1,1,1,0,0,20240521,20240621
44119_D_845548,0,0,0,0,0,0,1,20240521,20240621
44119_S_974411,0,0,0,0,0,1,0,20240521,20240621
44119_U_974857,1,1,1,1,1,0,0,20240521,20240621
12730_D_879020,0,0,0,0,0,0,1,20240521,20240621
12730_S_942101,0,0,0,0,0,1,0,20240521,20240621
12730_U_1032652,1,1,1,1,1,0,0,20240521,20240621
12731_D_879049,0,0,0,0,0,0,1,20240521,20240621
12731_S_942088,0,0,0,0,0,1,0,20240521,20240621
12731_U_1032653,1,1,1,1,1,0,0,20240521,20240621
25492_D_833777,0,0,0,0,0,0,1,20240521,20240621
25492_S_907020,0,0,0,0,0,1,0,20240521,20240621
25492_U_957489,1,1,1,1,1,0,0,20240521,20240621
35690_D_1046741,0,0,0,0,0,0,1,20240521,20240621
35690_S_1046295,0,0,0,0,0,1,0,20240521,20240621
35690_U_1047151,1,1,1,1,1,0,0,20240521,20240621
54165_S_1036035,0,0,0,0,0,1,0,20240521,20240621
54165_U_1007912,1,1,1,1,1,0,0,20240521,20240621
57899_D_907906,0,0,0,0,0,0,1,20240521,20240621
57899_S_942134,0,0,0,0,0,1,0,20240521,20240621
57899_U_1025292,1,1,1,1,1,0,0,20240521,20240621
57900_D_1046848,0,0,0,0,0,0,1,20240521,20240621
57900_S_1046293,0,0,0,0,0,1,0,20240521,20240621
57900_U_1047149,1,1,1,1,1,0,0,20240521,20240621
12846_U_1047165,1,1,1,1,1,0,0,20240521,20240621
26091_U_1025281,1,1,1,1,1,0,0,20240521,20240621
57892_U_1025283,1,1,1,1,1,0,0,20240521,20240621
25391_D_845564,0,0,0,0,0,0,1,20240521,20240621
25391_S_974511,0,0,0,0,0,1,0,20240521,20240621
25391_U_974868,1,1,1,1,1,0,0,20240521,20240621
38638_D_1046842,0,0,0,0,0,0,1,20240521,20240621
38638_S_1046287,0,0,0,0,0,1,0,20240521,20240621
38638_U_1047140,1,1,1,1,1,0,0,20240521,20240621
15365_D_702456,0,0,0,0,0,0,1,20240521,20240621
15365_S_939312,0,0,0,0,0,1,0,20240521,20240621
15365_U_974726,1,1,1,1,1,0,0,20240521,20240621
23217_D_845582,0,0,0,0,0,0,1,20240521,20240621
23217_S_974418,0,0,0,0,0,1,0,20240521,20240621
23217_U_974885,1,1,1,1,1,0,0,20240521,20240621
23214_D_845602,0,0,0,0,0,0,1,20240521,20240621
23214_S_974495,0,0,0,0,0,1,0,20240521,20240621
44228_U_1050941,1,1,1,1,1,0,0,20240521,20240621
77962_D_702503,0,0,0,0,0,0,1,20240521,20240621
77962_S_939314,0,0,0,0,0,1,0,20240521,20240621
56118_U_861389,1,1,1,1,1,0,0,20240521,20240621
21085_D_1040229,0,0,0,0,0,0,1,20240521,20240621
21085_S_1040202,0,0,0,0,0,1,0,20240521,20240621
21085_U_1037311,1,1,1,1,1,0,0,20240521,20240621
21342_D_1046764,0,0,0,0,0,0,1,20240521,20240621
21342_S_1046284,0,0,0,0,0,1,0,20240521,20240621
21342_U_1047137,1,1,1,1,1,0,0,20240521,20240621
28231_D_845592,0,0,0,0,0,0,1,20240521,20240621
28231_S_974419,0,0,0,0,0,1,0,20240521,20240621
28231_U_974896,1,1,1,1,1,0,0,20240521,20240621
37216_U_873014,1,1,1,1,1,0,0,20240521,20240621
38029_D_845671,0,0,0,0,0,0,1,20240521,20240621
38029_S_974426,0,0,0,0,0,1,0,20240521,20240621
38029_U_957165,1,1,1,1,1,0,0,20240521,20240621
42494_D_913861,0,0,0,0,0,0,1,20240521,20240621
42494_S_910972,0,0,0,0,0,1,0,20240521,20240621
42494_U_1026530,1,1,1,1,1,0,0,20240521,20240621
26049_D_613517,0,0,0,0,0,0,1,20240521,20240621
26049_S_613443,0,0,0,0,0,1,0,20240521,20240621
26049_U_1025311,1,1,1,1,1,0,0,20240521,20240621
68385_D_891209,0,0,0,0,0,0,1,20240521,20240621
68385_S_891173,0,0,0,0,0,1,0,20240521,20240621
68385_U_908895,1,1,1,1,1,0,0,20240521,20240621
28232_U_974904,1,1,1,1,1,0,0,20240521,20240621
36186_D_907930,0,0,0,0,0,0,1,20240521,20240621
36186_S_942178,0,0,0,0,0,1,0,20240521,20240621
25799_U_1025307,1,1,1,1,1,0,0,20240521,20240621
64709_S_517310,0,0,0,0,0,1,0,20240521,20240621
64709_U_846615,1,1,1,1,1,0,0,20240521,20240621
44116_D_845510,0,0,0,0,0,0,1,20240521,20240621
44116_S_974408,0,0,0,0,0,1,0,20240521,20240621
44116_U_974709,1,1,1,1,1,0,0,20240521,20240621
44117_D_845527,0,0,0,0,0,0,1,20240521,20240621
44117_S_974409,0,0,0,0,0,1,0,20240521,20240621
