"stop_id","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
192808665,"Avenida Juracy Magalhães Júnior 440 Rio Vermelho Salvador - BA 41940-060 Brasil","",-13.0095930099487,-38.4884033203125,,"",0,
176110749,"Avenida Antonio Carlos Magalhaes 3410 Salvador - Bahia 41820 Brasil","",-12.9840030670166,-38.4663162231445,,"",0,
44784172,"R. Cidália Menezes 67 - Doron Salvador - BA Brasil","",-12.9598188400269,-38.4412841796875,,"",0,
44784207,"R. Cidália Menezes 61 - Doron Salvador - BA Brasil","",-12.9587326049805,-38.4419822692871,,"",0,
44783418,"Rua Cidália Menezes 55 - Doron Salvador - BA Brasil","",-12.9580688476563,-38.4432182312012,,"",0,
230565963,"Rua Professor Souza Brito 338 Salvador - Bahia 41580 Brasil","",-12.9522886276245,-38.3608055114746,,"",0,
230565964,"Rua Palmas De Monte Santo Salvador - Bahia Brasil","",-12.9552841186523,-38.3557624816895,,"",0,
230565965,"Rua Palmas De Monte Santo Salvador - Bahia Brasil","",-12.9553966522217,-38.3526763916016,,"",0,
230565966,"Rua General Severino Filho 112 Salvador - Bahia Brasil","",-12.9527463912964,-38.3511734008789,,"",0,
230565967,"Rua Caramujo 98 Salvador - Bahia Brasil","",-12.9502038955688,-38.3475036621094,,"",0,
47568603,"Avenida General Severino Filho 818-988 - Stella Maris Salvador - BA Brasil","",-12.948899269104,-38.3453369140625,,"",0,
230565968,"Rua General Severino Filho Salvador - Bahia Brasil","",-12.9484558105469,-38.3445854187012,,"",0,
47568536,"Alameda Praia de Camburiú 368-412 - Stella Maris Salvador - BA Brasil","",-12.9434118270874,-38.3383865356445,,"",0,
230565969,"Rua Capitão Melo Salvador - Bahia Brasil","",-12.9402761459351,-38.3355293273926,,"",0,
230565970,"Rua Capitão Melo Salvador - Bahia Brasil","",-12.9359426498413,-38.3316230773926,,"",0,
230565971,"Rua Jose Augusto Tourinho Dantas 156 Salvador - Bahia Brasil","",-12.9328470230103,-38.3290748596191,,"",0,
230565972,"Rua Jose Augusto Tourinho Dantas 534 Salvador - Bahia Brasil","",-12.929388999939,-38.3247528076172,,"",0,
230565973_S,"Rua Professor Antônio Augusto Machado 389 Salvador - Bahia Brasil","TP PRAIA DO FLAMENGO",-12.9302206039429,-38.3230667114258,,"",1,
230565973,"Rua Professor Antônio Augusto Machado 389 Salvador - Bahia Brasil","TP PRAIA DO FLAMENGO",-12.9302206039429,-38.3230667114258,,"",0,230565973_S
230565974,"Rua Desembargador Adolfo Leitão Guerra 350 Salvador - Bahia Brasil","",-12.9296970367432,-38.3210182189941,,"",0,
230565975,"Rua Thales De Azevedo 110 Salvador - Bahia Brasil","",-12.9271984100342,-38.318286895752,,"",0,
230565976,"Rua Thales De Azevedo 12 Salvador - Bahia Brasil","",-12.9257907867432,-38.3170013427734,,"",0,
230565977,"Rua Desembargador Manoel De Andrade Teixeira Salvador - Bahia Brasil","",-12.923378944397,-38.315788269043,,"",0,
230565978,"Alameda Cabo Frio Salvador - Bahia Brasil","",-12.9216690063477,-38.3144760131836,,"",0,
230565979,"Rua Copacabana 58 Salvador - Bahia Brasil","",-12.9195041656494,-38.3160667419434,,"",0,
268469953,"Rua Ipanema 281 Salvador - Bahia Brasil","",-12.918719291687,-38.317626953125,,"",0,
230565980,"Rua Um Salvador - Bahia Brasil","",-12.9207706451416,-38.3196296691895,,"",0,
230565981,"Rua Professor Antonio Augusto Machado 394 Salvador - Bahia Brasil","",-12.923246383667,-38.3220977783203,,"",0,
230565982,"Rua Jose Augusto Tourinho Dantas 548 Salvador - Bahia Brasil","",-12.9293928146362,-38.324893951416,,"",0,
230565984,"Rua Capitão Melo Salvador - Bahia Brasil","",-12.9364194869995,-38.3321762084961,,"",0,
230565985,"Rua Capitão Melo Salvador - Bahia Brasil","",-12.9384775161743,-38.3339958190918,,"",0,
230565986,"Rua Professor Carlos Otti 79 Salvador - Bahia Brasil","",-12.9405841827393,-38.3359260559082,,"",0,
