Epochs,loss
1,29958.2734375
2,29824.47265625
3,29845.2421875
4,29710.703125
5,29665.6953125
6,29656.958984375
7,29654.9375
8,29650.3359375
9,29650.359375
10,29650.375
11,29650.38671875
12,29650.39453125
13,29650.396484375
14,29650.40234375
15,29650.40234375
16,29650.40234375
17,29650.40625
18,29650.408203125
19,29650.40625
20,29650.40625
21,29650.40625
22,29650.40625
23,29650.40625
24,29650.41015625
25,29650.41015625
26,29650.41015625
27,29650.41015625
28,29650.41015625
29,29650.41015625
30,29650.41015625
31,29650.41015625
32,29650.41015625
33,29650.41015625
34,29650.41015625
35,29650.41015625
36,29650.41015625
37,29650.41015625
38,29650.41015625
39,29650.41015625
40,29650.41015625
41,29650.41015625
42,29650.41015625
43,29650.41015625
44,29650.41015625
45,29650.41015625
46,29650.41015625
47,29650.41015625
48,29650.41015625
49,29650.41015625
50,29650.41015625
