Epochs,loss
1,33983.09375
2,34009.3125
3,33808.60546875
4,33808.1640625
5,33807.7265625
6,33807.54296875
7,33807.4453125
8,33807.38671875
9,33807.3515625
10,33807.33203125
11,33807.31640625
12,33807.3046875
13,33807.3046875
14,33807.2890625
15,33807.2890625
16,33807.28125
17,33807.28125
18,33807.27734375
19,33807.265625
20,33807.26171875
21,33807.2578125
22,33807.2421875
23,33807.23046875
24,33807.21484375
25,33807.1953125
26,33807.16796875
27,33807.13671875
28,33807.09375
29,33807.046875
30,33806.98046875
31,33806.90234375
32,33806.80078125
33,33806.6796875
34,33806.59375
35,33807.1796875
36,33806.53125
37,33806.5703125
38,33806.62109375
39,33806.66015625
40,33806.6796875
41,33806.6953125
42,33806.69140625
43,33806.6875
44,33806.671875
45,33806.640625
46,33806.609375
47,33806.56640625
48,33806.5234375
49,33806.46484375
50,33806.40625
