Epochs,loss
1,34107.73828125
2,33834.6484375
3,33808.67578125
4,33807.05859375
5,33808.41015625
6,33807.875
7,33807.85546875
8,33807.71484375
9,33807.765625
10,33806.92578125
11,33806.921875
12,33807.06640625
13,33807.078125
14,33807.0703125
15,33807.046875
16,33807.03125
17,33807.09375
18,33807.2421875
19,33807.35546875
20,33807.390625
21,33807.3984375
22,33807.3984375
23,33807.40234375
24,33807.3984375
25,33807.40625
26,33807.40625
27,33807.3984375
28,33807.40234375
29,33807.40234375
30,33807.41015625
31,33807.40625
32,33807.40625
33,33807.40625
34,33807.40625
35,33807.40625
36,33807.40625
37,33807.40625
38,33807.40625
39,33807.40625
40,33807.40234375
41,33807.40234375
42,33807.40234375
43,33807.3984375
44,33807.3984375
45,33807.40234375
46,33807.40234375
47,33807.3984375
48,33807.3984375
49,33807.3984375
50,33807.39453125
