Epochs,loss
1,30124.10546875
2,30017.12890625
3,30068.5
4,30078.890625
5,30090.1796875
6,30050.1796875
7,29872.396484375
8,29873.765625
9,29688.72265625
10,29675.09375
11,29672.173828125
12,29671.994140625
13,29667.115234375
14,29662.234375
15,29662.07421875
16,29661.53125
17,29650.7578125
18,29650.171875
19,29650.41796875
20,29650.4140625
21,29650.41015625
22,29650.41015625
23,29650.408203125
24,29650.408203125
25,29650.41015625
26,29650.41015625
27,29650.41015625
28,29650.41015625
29,29650.41015625
30,29650.41015625
31,29650.41015625
32,29650.41015625
33,29650.41015625
34,29650.41015625
35,29650.41015625
36,29650.41015625
37,29650.41015625
38,29650.41015625
39,29650.41015625
40,29650.41015625
41,29650.41015625
42,29650.41015625
43,29650.41015625
44,29650.41015625
45,29650.41015625
46,29650.41015625
47,29650.41015625
48,29650.41015625
49,29650.41015625
50,29650.41015625
