Epochs,loss
1,34095.59375
2,34020.578125
3,33807.921875
4,33807.375
5,33807.3046875
6,33807.27734375
7,33807.265625
8,33807.2578125
9,33807.25
10,33807.25
11,33807.21875
12,33807.20703125
13,33807.203125
14,33807.2109375
15,33807.203125
16,33807.19140625
17,33807.1796875
18,33807.16796875
19,33807.140625
20,33807.109375
21,33807.078125
22,33807.015625
23,33806.9453125
24,33806.81640625
25,33806.546875
26,33806.30078125
27,33806.09765625
28,33806.59375
29,33806.125
30,33806.26171875
31,33806.609375
32,33806.71875
33,33806.76953125
34,33806.796875
35,33806.80078125
36,33806.796875
37,33806.78125
38,33806.7578125
39,33806.71484375
40,33806.66796875
41,33806.609375
42,33806.5390625
43,33806.46875
44,33806.3984375
45,33806.3359375
46,33806.296875
47,33806.2734375
48,33806.26953125
49,33806.26953125
50,33806.2734375
