route_id,service_id,trip_id,direction_id,block_id,shape_id
4089,26082_D_1046761,1046761_D_1_0,0,4089_001M,26082_I
4089,26082_D_1046761,1046761_D_1_1,1,4089_001M,26082_V
4089,26082_D_1046761,1046761_D_2_0,0,4089_002M,26082_I
4089,26082_D_1046761,1046761_D_2_1,1,4089_002M,26082_V
4089,26082_D_1046761,1046761_D_3_0,0,4089_002T,26082_I
