route_id,agency_id,route_short_name,route_long_name,route_type
4089,1,1230,Sussuarana x Barra R1.,3
4450,1,1321,São Marcos x Barroquinha,3
4518,1,1103,Alto do Cruzeiro/Pernambués x Shop.Bela Vista/Term Ac.Norte,3
4523,1,1405,Estação Pirajá x Cajazeiras 8,3
4524,1,1137,Pernambués x Barra,3
