model_name,accuracy,f1,mcc,precision,recall
cheb,0.51,0.6,0.03,0.45,0.87
gat,0.5,0.14,0.0,0.39,0.2
gcn,0.5,0.33,0.01,0.45,0.5
sage,0.5,0.2,0.01,0.31,0.3
