Epochs,loss
1,1083.7196
2,1080.096
3,1076.5825
4,1073.0023
5,1069.3217
6,1065.6759
7,1062.0748
8,1058.5323
9,1055.0984
10,1051.7227
11,1048.4515
12,1045.4115
13,1042.6284
14,1040.0071
15,1037.4674
16,1034.9327
17,1032.396
18,1029.8997
19,1027.4751
20,1025.0973
21,1022.7203
22,1020.33673
23,1017.9639
24,1015.60535
25,1013.2652
26,1010.9483
27,1008.6518
28,1006.3773
29,1004.11926
30,1001.8812
31,999.66846
32,997.5001
33,995.3609
34,993.2337
35,991.0964
36,988.93036
37,986.7207
38,984.46954
39,982.22125
40,979.9953
41,977.7893
42,975.649
43,973.6013
44,971.616
45,969.6598
46,967.72034
47,965.79376
48,963.8788
49,961.9752
50,960.08405
51,958.2045
52,956.33746
53,954.4838
54,952.637
55,950.7963
56,948.964
57,947.1424
58,945.33453
59,943.5395
60,941.7501
61,939.9645
62,938.1856
63,936.4146
64,934.64984
65,932.8875
66,931.12756
67,929.36884
68,927.6142
69,925.8648
70,924.12286
71,922.3954
72,920.6608
73,918.9236
74,917.2074
75,915.4901
76,913.7783
77,912.08417
78,910.399
79,908.7129
80,907.02637
81,905.3457
82,903.6749
83,902.01324
84,900.357
85,898.70685
86,897.06946
87,895.44836
88,893.82916
89,892.19855
90,890.56537
91,888.92535
92,887.28253
93,885.64014
94,883.9946
95,882.3385
96,880.6728
97,879.00116
98,877.3279
99,875.6436
100,873.9441
101,872.24603
102,870.5951
103,868.98303
104,867.38007
105,865.7757
106,864.1666
107,862.5499
108,860.9235
109,859.2896
110,857.67505
111,856.07574
112,854.48425
113,852.89966
114,851.3202
115,849.7478
116,848.1849
117,846.6276
118,845.0728
119,843.5124
120,841.931
121,840.3345
122,838.733
123,837.13934
124,835.543
125,833.95703
126,832.3891
127,830.8344
128,829.29004
129,827.7617
130,826.2369
131,824.7066
132,823.1922
133,821.6893
134,820.19244
135,818.70154
136,817.2157
137,815.7338
138,814.2555
139,812.781
140,811.30884
141,809.8336
142,808.3546
143,806.88416
144,805.4232
145,803.9691
146,802.5173
147,801.0649
148,799.6088
149,798.1549
150,796.70386
151,795.2533
152,793.80304
153,792.35675
154,790.92114
155,789.49274
156,788.06665
157,786.6403
158,785.20496
159,783.73285
160,782.2066
161,780.6932
162,779.23987
163,777.8272
164,776.4109
165,774.99066
166,773.57214
167,772.1594
168,770.7553
169,769.3566
170,767.96185
171,766.57245
172,765.19
173,763.81464
174,762.4475
175,761.0873
176,759.7311
177,758.3758
178,757.02057
179,755.66455
180,754.3079
181,752.9458
182,751.57764
183,750.1901
184,748.76385
185,747.32324
186,745.8876
187,744.42505
188,742.98083
189,741.5816
190,740.2234
191,738.8933
192,737.5611
193,736.22906
194,734.9227
195,733.63855
196,732.3434
197,731.03894
198,729.756
199,728.48065
200,727.1884
201,725.8976
202,724.62274
203,723.3516
204,722.0772
205,720.8069
206,719.5508
207,718.30347
208,717.0534
209,715.8035
210,714.56586
211,713.3392
212,712.11707
213,710.8967
214,709.6826
215,708.47876
216,707.2831
217,706.0935
218,704.9094
219,703.729
220,702.55084
221,701.37665
222,700.20953
223,699.05
224,697.89465
225,696.7491
226,695.61444
227,694.5311
228,693.49005
229,692.2264
230,690.89624
231,689.9118
232,688.61865
233,687.50696
234,686.38104
235,685.1988
236,684.1694
237,682.98413
238,681.97174
239,680.8016
240,679.7426
241,678.6265
242,677.5251
243,676.4692
244,675.3563
245,674.3352
246,673.238
247,672.1925
248,671.145
249,670.0655
250,669.0291
251,667.97156
252,666.92285
253,665.8925
254,664.8756
255,663.8257
256,662.78534
257,661.7406
258,660.6755
259,659.6655
260,658.524
261,657.5078
262,656.4229
263,655.4083
264,654.36835
265,653.2723
266,652.19696
267,651.14294
268,650.1117
269,649.1097
270,648.0635
271,646.9488
272,645.8524
